Pi weather station data from codename stormrider_steve, initialised Tue Sep  4 21:28:39 2018
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2018-09-04T21:28:40, 21.875, 0.0, 0.0
2018-09-04T21:29:01, 21.75, 0.0, 0.0
2018-09-04T21:29:22, 21.687, 0.0, 0.0
2018-09-04T21:29:43, 21.625, 0.12, 0.0
2018-09-04T21:30:04, 21.75, 0.17, 0.0
2018-09-04T21:30:25, 21.875, 0.0, 0.0
2018-09-04T21:30:46, 22.062, 0.06, 0.0
2018-09-04T21:31:07, 22.187, 0.11, 0.0
2018-09-04T21:31:28, 22.187, 1.78, 0.0
2018-09-04T21:31:49, 22.187, 0.23, 0.0
2018-09-04T21:32:10, 22.187, 2.23, 0.0
2018-09-04T21:32:31, 20.312, 4.99, 0.0
2018-09-04T21:32:52, 19.562, 9.23, 0.0
2018-09-04T21:33:13, 19.062, 8.37, 0.0
2018-09-04T21:33:34, 18.812, 4.07, 0.0
2018-09-04T21:33:55, 18.625, 4.77, 0.0
2018-09-04T21:34:16, 18.5, 3.44, 0.0
2018-09-04T21:34:36, 18.437, 3.84, 0.0
2018-09-04T21:34:57, 18.375, 5.0, 0.0
2018-09-04T21:35:18, 18.187, 6.3, 0.0
2018-09-04T21:35:39, 18.062, 4.41, 0.0
2018-09-04T21:36:00, 18.0, 3.15, 0.0
2018-09-04T21:36:21, 17.875, 5.85, 0.0
2018-09-04T21:36:42, 17.812, 5.75, 0.0
2018-09-04T21:37:03, 17.812, 1.6, 0.28
2018-09-04T21:37:24, 18.75, 0.4, 0.28
2018-09-04T21:37:45, 18.312, 1.78, 0.0
2018-09-04T21:38:06, 18.062, 3.67, 0.0
2018-09-04T21:38:27, 17.875, 3.5, 0.0
2018-09-04T21:38:48, 17.75, 5.56, 0.0
2018-09-04T21:39:09, 17.75, 3.74, 0.0
2018-09-04T21:39:30, 17.75, 3.72, 0.0
2018-09-04T21:39:51, 17.687, 2.87, 0.0
2018-09-04T21:40:11, 17.75, 3.05, 0.0
2018-09-04T21:40:32, 17.75, 3.34, 0.0
2018-09-04T21:40:53, 17.75, 2.41, 0.0
2018-09-04T21:41:14, 17.75, 2.82, 0.0
2018-09-04T21:41:35, 17.75, 3.21, 0.0
2018-09-04T21:41:56, 17.75, 2.87, 0.0
2018-09-04T21:42:17, 17.75, 1.72, 0.0
2018-09-04T21:42:38, 17.812, 1.49, 0.0
2018-09-04T21:42:59, 17.812, 2.7, 0.0
2018-09-04T21:43:20, 17.75, 5.79, 0.0
2018-09-04T21:43:41, 17.75, 5.85, 0.0
2018-09-04T21:44:02, 17.75, 2.93, 0.0
2018-09-04T21:44:23, 17.75, 2.01, 0.0
2018-09-04T21:44:44, 17.75, 2.41, 0.0
2018-09-04T21:45:05, 17.75, 2.35, 0.0
2018-09-04T21:45:26, 17.687, 2.75, 0.0
2018-09-04T21:45:46, 17.687, 2.64, 0.0
2018-09-04T21:46:07, 17.687, 2.06, 0.0
2018-09-04T21:46:28, 17.625, 1.38, 0.0
2018-09-04T21:46:49, 17.687, 2.46, 0.0
2018-09-04T21:47:10, 17.687, 2.92, 0.0
2018-09-04T21:47:31, 17.625, 4.7, 0.0
2018-09-04T21:47:52, 17.687, 2.53, 0.0
2018-09-04T21:48:13, 17.687, 3.32, 0.0
2018-09-04T21:48:34, 17.687, 2.98, 0.0
2018-09-04T21:48:55, 17.687, 2.87, 0.0
2018-09-04T21:49:16, 17.687, 2.13, 0.0
2018-09-04T21:49:37, 17.75, 1.38, 0.0
2018-09-04T21:49:58, 17.687, 5.1, 0.0
2018-09-04T21:50:19, 17.687, 2.29, 0.0
2018-09-04T21:50:40, 17.687, 2.69, 0.0
2018-09-04T21:51:01, 17.687, 3.72, 0.0
2018-09-04T21:51:22, 17.687, 4.3, 0.0
2018-09-04T21:51:43, 17.687, 3.9, 0.0
2018-09-04T21:52:04, 17.687, 2.98, 0.0
2018-09-04T21:52:24, 17.687, 3.84, 0.0
2018-09-04T21:52:45, 17.687, 5.96, 0.0
2018-09-04T21:53:06, 17.687, 3.62, 0.0
2018-09-04T21:53:27, 17.75, 3.28, 0.0
2018-09-04T21:53:48, 17.75, 3.05, 0.0
2018-09-04T21:54:09, 17.75, 4.01, 0.0
2018-09-04T21:54:30, 17.75, 3.5, 0.0
2018-09-04T21:54:51, 17.687, 2.41, 0.0
2018-09-04T21:55:12, 17.687, 1.89, 0.0
2018-09-04T21:55:33, 17.687, 1.15, 0.0
2018-09-04T21:55:54, 17.625, 2.29, 0.0
2018-09-04T21:56:15, 17.562, 3.84, 0.0
2018-09-04T21:56:36, 17.562, 2.29, 0.0
2018-09-04T21:56:57, 17.5, 3.72, 0.0
2018-09-04T21:57:18, 17.5, 4.47, 0.0
2018-09-04T21:57:39, 17.5, 2.69, 0.0
2018-09-04T21:58:00, 17.5, 2.87, 0.0
2018-09-04T21:58:21, 17.5, 5.04, 0.0
2018-09-04T21:58:42, 17.437, 4.64, 0.0
2018-09-04T21:59:02, 17.437, 2.18, 0.0
2018-09-04T21:59:23, 17.437, 3.05, 0.0
2018-09-04T21:59:44, 17.437, 1.2, 0.0
2018-09-04T22:00:05, 17.437, 2.87, 0.0
2018-09-04T22:00:26, 17.375, 2.82, 0.0
2018-09-04T22:00:47, 17.375, 3.72, 0.0
2018-09-04T22:01:08, 17.312, 2.41, 0.0
2018-09-04T22:01:29, 17.312, 3.67, 0.0
2018-09-04T22:01:50, 17.25, 5.44, 0.0
2018-09-04T22:02:11, 17.25, 5.39, 0.0
2018-09-04T22:02:32, 17.25, 3.21, 0.0
2018-09-04T22:02:53, 17.25, 2.58, 0.0
2018-09-04T22:03:14, 17.187, 3.21, 0.0
2018-09-04T22:03:35, 17.25, 1.38, 0.0
2018-09-04T22:03:56, 17.25, 1.72, 0.0
2018-09-04T22:04:17, 17.25, 2.98, 0.0
2018-09-04T22:04:38, 17.187, 2.52, 0.0
2018-09-04T22:04:59, 17.187, 2.75, 0.0
2018-09-04T22:05:20, 17.187, 2.19, 0.0
2018-09-04T22:05:40, 17.125, 3.27, 0.0
2018-09-04T22:06:01, 17.125, 2.52, 0.0
2018-09-04T22:06:22, 17.187, 0.92, 0.0
2018-09-04T22:06:43, 17.25, 0.57, 0.0
2018-09-04T22:07:04, 17.25, 2.98, 0.0
2018-09-04T22:07:25, 17.25, 3.72, 0.0
2018-09-04T22:07:46, 17.25, 3.61, 0.0
2018-09-04T22:08:07, 17.25, 1.6, 0.0
2018-09-04T22:08:28, 17.25, 3.61, 0.0
2018-09-04T22:08:49, 17.187, 5.85, 0.0
2018-09-04T22:09:10, 17.187, 4.63, 0.0
2018-09-04T22:09:31, 17.187, 2.76, 0.0
2018-09-04T22:09:52, 17.187, 1.95, 0.0
2018-09-04T22:10:13, 17.187, 4.93, 0.0
2018-09-04T22:10:34, 17.25, 3.21, 0.0
2018-09-04T22:10:55, 17.25, 2.41, 0.0
2018-09-04T22:11:16, 17.312, 2.19, 0.0
2018-09-04T22:11:37, 17.312, 2.18, 0.0
2018-09-04T22:11:58, 17.312, 3.1, 0.0
2018-09-04T22:12:18, 17.375, 4.08, 0.0
2018-09-04T22:12:39, 17.375, 3.78, 0.0
2018-09-04T22:13:00, 17.375, 4.2, 0.0
2018-09-04T22:13:21, 17.375, 3.32, 0.0
2018-09-04T22:13:42, 17.437, 1.89, 0.0
2018-09-04T22:14:03, 17.437, 2.06, 0.0
2018-09-04T22:14:24, 17.562, 1.38, 0.0
2018-09-04T22:14:45, 17.562, 2.58, 0.0
2018-09-04T22:15:06, 17.562, 2.06, 0.0
2018-09-04T22:15:27, 17.562, 2.35, 0.0
2018-09-04T22:15:48, 17.625, 1.78, 0.0
2018-09-04T22:16:09, 17.625, 2.35, 0.0
2018-09-04T22:16:30, 17.687, 2.36, 0.0
2018-09-04T22:16:51, 17.812, 1.54, 0.0
2018-09-04T22:17:12, 17.75, 4.13, 0.28
2018-09-04T22:17:33, 17.75, 5.85, 0.0
2018-09-04T22:17:54, 17.75, 3.84, 0.0
2018-09-04T22:18:15, 17.687, 3.67, 0.28
2018-09-04T22:18:35, 0.0, 1.66, 0.0
2018-09-04T22:18:55, 0.0, 0.3, 0.0
2018-09-04T22:19:15, 0.0, 0.78, 0.0
2018-09-04T22:19:36, 17.687, 1.13, 0.0
2018-09-04T22:19:57, 17.687, 2.07, 0.0
2018-09-04T22:20:17, 0.0, 2.41, 0.84
2018-09-04T22:20:37, 0.0, 1.85, 0.0
2018-09-04T22:20:57, 0.0, 1.55, 0.0
2018-09-04T22:21:17, 0.0, 1.13, 1.4
2018-09-04T22:21:38, 17.562, 0.54, 2.51
2018-09-04T22:21:59, 17.562, 0.52, 1.12
2018-09-04T22:22:19, 0.0, 1.26, 0.56
2018-09-04T22:22:39, 0.0, 1.19, 0.56
2018-09-04T22:23:00, 0.0, 3.11, 0.0
2018-09-04T22:23:20, 0.0, 3.28, 0.28
2018-09-04T22:23:40, 0.0, 2.57, 0.0
2018-09-04T22:24:00, 0.0, 2.33, 0.0
